Nome da Cliente: Sofia, Compras recentes: "Óculos de Sol SunStyle, Creme Hidratante ExtraSoft, Tapete ZenComfort, Pelúcia CuteTeddyBear, Kit de Toalhas SoftLux, Love in the City, Almofada Decorativa CushyStyle, Moto Esportiva SpeedMaster"
Nome da cliente: Ingrid,Compras recentes:"Bolsa Feminina FashionLady, Loção Corporal BodyFresh, Creme Hidratante ExtraSoft, Anel de Noivado EternalLove, Corda de Pular JumpFit, Fitness, Luvas de Boxe FightMaster, Kit de Pintura ArtMaster"
Nome da cliente: Ana,Compras recentes:"Romance Amor Proibido, Relógio de Parede VintageClock, Vinho Tinto ClassicRed, Carregador Portátil PowerGo, Escova Dental Elétrica CleanTeeth, Refrigerante SparklingFizz, Conjunto de Jóias SparkleSet, Filme de Ação ActionForce"
Nome do cliente: João,Compras recentes:"Depilador Elétrico SilkSmooth, Tapete ZenComfort, Esmalte de Unhas ColorPop, Jogo de Panelas CuisineMaster, Escova Dental Elétrica CleanTeeth, Filme de Ação ActionForce, Anel de Diamante DiamondGlow, Kit de Pintura ArtMaster"
Nome do cliente: Mario,Compras recentes:"Kit de Pintura ArtMaster, Jogo de Tabuleiro FamilyFun, Loção Corporal BodyFresh, RelaxPro, Conjunto de Jóias SparkleSet, Carro Elétrico EcoDrive, Filmes, Biografia True Story"
Nome do cliente: José, Compras recentes: "Moto Custom ClassicCharm, Esmalte de Unhas ColorPop, Cerveja Artesanal CraftBrew, Carregador Portátil PowerGo, Conjunto de Jóias SparkleSet, Sabonete Líquido SoftClean, Carrinho de Controle Remoto SpeedRacer, Smartwatch SmartFit"
Nome da cliente: Gabriella,Compras recentes:"Bolsa Feminina FashionLady, Filme de Ação ActionForce, Carrinho de Controle Remoto SpeedRacer, Creme Hidratante ExtraSoft, Anel de Noivado EternalLove, Carregador Portátil PowerGo, Camiseta Esportiva ActiveFit, Pulseira de Ouro GoldCharm"
Nome do cliente: Leonardo,Compras recentes: "Anel de Noivado EternalLove, Relógio de Parede VintageClock, Romance Amor Proibido, Lenço de Seda SilkCharm, Escova Dental Elétrica CleanTeeth, Chapéu de Palha BeachStyle, Shampoo Anticaspa ScalpCare, Bicicleta Ergométrica FitCycle"
Nome do cliente: Marcos,Compras recentes: "Carrinho de Controle Remoto SpeedRacer, Cerveja Artesanal CraftBrew, Óculos de Sol SunStyle, Escova Alisadora HairStyle, Smartwatch SmartFit, Jogo de Tabuleiro FamilyFun, Tênis de Corrida RunFast, Jóias, Brinquedos"
Nome da cliente Andrea,Compras recentes:"Romance Amor Proibido, Horror Cinema, Carteira Masculina ManCard, Jogo de Tabuleiro FamilyFun, Óculos de Sol SunStyle, Shampoo Anticaspa ScalpCare, Anel de Noivado EternalLove, Relógio de Pulso TimeLux"
